w, delta
0.7010879004470106, -0.0075120192307691624
0.7201037620067584, -0.0129795427786501
0.740111809195647, -0.01680680926216649
0.759125199558311, -0.023367837519622903
0.7793122540859565, -0.029997209821428505
0.7981379879200703, -0.037583398744112984
0.8179871062465077, -0.04339264251373631
0.8371557186759971, -0.049611950549450334
0.8566695264481281, -0.05343921703296717
0.8761919834100524, -0.05343921703296717
0.8953865434089217, -0.04817672561813202
0.9151131830298938, -0.026169943337912116
0.9334587632706277, 0.01621703296703325
0.951488576007326, 0.11024021291208852
0.9635002589506654, 0.19845740356582198
0.9706197424462427, 0.2870156635456378
0.976510405540499, 0.37857325072886283
0.9818703927898843, 0.4904578754578752
0.9864421466202424, 0.6180507821260379
0.9890367785274148, 0.7273459269525118
0.995297350406101, 0.8185624448096549
1.003284413830721, 0.9082981750392469
1.0105269629410714, 0.9966377340771477
1.0179438638313865, 1.0801151025313973
1.0263640217060312, 1.1701318027210887
1.041280454362022, 1.2643002310189813
1.0599791115663995, 1.3481057692307696
1.0783125829414228, 1.3851345724587913
1.09804570945474, 1.4100118046016483
1.1172560233350184, 1.4222453885400315
1.136786511687465, 1.4257992788461542
1.1563058796530346, 1.4244323979591837
1.1754764999301544, 1.4191015625000003
1.1953199036133355, 1.4107635890894819
