w, delta
0.7153655504982306, -0.004641569368131648
0.7343894434485007, -0.006555202609890287
0.7564505780236712, -0.004032686063936364
0.7754756504089131, -0.005424419330669394
0.7944991502141926, -0.0075120192307691624
0.8135226500194721, -0.00959961913086893
0.8325469361147327, -0.011339285714285552
0.8515916657495047, -0.004032686063936364
0.870641113124164, 0.005361513486513481
0.8897078588784098, 0.022410246003996104
0.9088005522020353, 0.050940777972027895
0.9279357051846457, 0.09825970904095893
0.9453909933051882, 0.16769173534798565
0.9585526576178058, 0.25082846840659334
0.9691234090767988, 0.33566620879120856
0.9753488652449245, 0.4113440247252744
0.9833915089809554, 0.5256740427541211
0.98800338911912, 0.6527977621336993
0.995143055038182, 0.7502867445054946
1.0065772839448686, 0.8344866071428574
1.0171494769354936, 0.9199622252747255
1.0277274360526478, 1.0079893543956047
1.0391760802756564, 1.0985679945054945
1.0523423094384428, 1.1837246737637366
1.0689520955739176, 1.2617487200299702
1.0880990429062463, 1.314286650849151
1.1071862322000032, 1.3403816496003995
1.1262388247345871, 1.3511675824175824
1.1452623245398668, 1.349079982517483
1.1642716711254846, 1.340729582917083
1.1832802314211213, 1.33203125
1.2022997997764946, 1.3282039835164836
