χ²,L1,L2,L3,L4,L5,L6,L7,L8,c
410.3962536385397,0.0005556306070372202,0.0010878917811802853,-0.0027672721868120245,-0.0001991546271746299,0.0010185784140017305,7.0e-5,-0.0005558567894674484,0.0007142073542618825,0.00011278730419734848
410.86196713934055,0.0005210461611585904,0.0010478213108671074,-0.0027489748328830927,-0.00022719179876939594,0.0007784938448750908,7.0e-5,-0.0005029336116362393,0.0006077763526175896,0.00011201588684271807
412.32377859619913,0.0005423303424559651,0.001065937150078827,-0.0027325571396181587,-0.0002085960959710007,0.0014697886015539847,7.0e-5,-0.0004953924893952109,0.0007640408983732052,0.00010840265220628393
414.08676294918496,0.0005079233084348716,0.0010241709104422084,-0.002716349987199054,-0.00023150843051460973,0.0014162054950560533,7.0e-5,-0.0005835490844989298,0.0008015545699465215,0.00010573966249584757
412.784816437471,0.000539115272620904,0.001048309648415388,-0.002785462444633968,-0.00018981380057702556,0.00034004931939840696,7.0e-5,-0.00042227841331386675,0.0004245643126427271,0.0001061077609118731
411.2648501376348,0.0005487596404975667,0.001076217422110893,-0.0027504679836793046,-0.0002054528429470764,0.0013746828880817404,7.0e-5,-0.0005672239912895224,0.0006880575633431413,0.00010733594191004036
412.35752148031935,0.0005308951772713741,0.0010281856233873457,-0.0027204047115470197,-0.00019252042534538257,0.0018634772905010409,7.0e-5,-0.0005961529417119621,0.0010233608451429487,0.0001245214762916708
415.67584319932837,0.0005471661066150229,0.001055842999324848,-0.0027244334955998815,-0.00018664599607844812,0.0020671447523635234,7.0e-5,-0.0006815376398468871,0.0010311373195326795,0.0001128471508535421
413.7000916989555,0.0005323938678161759,0.0010400045572294882,-0.0027519388158436346,-0.00019056697485447834,0.0009835809658867176,7.0e-5,-0.00045650073841463557,0.0006006276209600948,0.00012795613612190583
412.7035354000414,0.0005683936687514493,0.0011136821239988647,-0.002764991386218206,-0.0002028757837625022,0.0011697120494282244,7.0e-5,-0.0005467286647631514,0.0007192637534122772,0.00010760875733219708
414.8523625038923,0.0005393996259849284,0.0010887389625446986,-0.0027528820258746352,-0.00023079182561540473,0.0008836450677495938,7.0e-5,-0.000550328862712362,0.0005788046285557562,0.00010622021837784625
